s_id,country,type,servings
316,Nicaragua,beer,78
317,Nicaragua,spirit,118
318,Nicaragua,wine,1
319,Niger,beer,3
320,Niger,spirit,2
321,Niger,wine,1
322,Nigeria,beer,42
323,Nigeria,spirit,5
324,Nigeria,wine,2
325,Niue,beer,188
326,Niue,spirit,200
327,Niue,wine,7
328,Norway,beer,169
329,Norway,spirit,71
330,Norway,wine,129
331,Oman,beer,22
332,Oman,spirit,16
333,Oman,wine,1
334,Palau,beer,306
335,Palau,spirit,63
336,Palau,wine,23
337,Panama,beer,285
338,Panama,spirit,104
339,Panama,wine,18
340,Papua New Guinea,beer,44
341,Papua New Guinea,spirit,39
342,Papua New Guinea,wine,1
343,Paraguay,beer,213
344,Paraguay,spirit,117
345,Paraguay,wine,74
346,Peru,beer,163
347,Peru,spirit,160
348,Peru,wine,21
349,Philippines,beer,71
350,Philippines,spirit,186
351,Philippines,wine,1
352,Poland,beer,343
353,Poland,spirit,215
354,Poland,wine,56
355,Portugal,beer,194
356,Portugal,spirit,67
357,Portugal,wine,339
358,Qatar,beer,1
359,Qatar,spirit,42
360,Qatar,wine,7
361,South Korea,beer,140
362,South Korea,spirit,16
363,South Korea,wine,9
364,Moldova,beer,109
365,Moldova,spirit,226
366,Moldova,wine,18
367,Romania,beer,297
368,Romania,spirit,122
369,Romania,wine,167
370,Russian Federation,beer,247
371,Russian Federation,spirit,326
372,Russian Federation,wine,73
373,Rwanda,beer,43
374,Rwanda,spirit,2
375,St. Kitts & Nevis,beer,194
376,St. Kitts & Nevis,spirit,205
377,St. Kitts & Nevis,wine,32
378,St. Lucia,beer,171
379,St. Lucia,spirit,315
380,St. Lucia,wine,71
381,St. Vincent & the Grenadines,beer,120
382,St. Vincent & the Grenadines,spirit,221
383,St. Vincent & the Grenadines,wine,11
384,Samoa,beer,105
385,Samoa,spirit,18
386,Samoa,wine,24
387,Sao Tome & Principe,beer,56
388,Sao Tome & Principe,spirit,38
389,Sao Tome & Principe,wine,140
390,Saudi Arabia,spirit,5
391,Senegal,beer,9
392,Senegal,spirit,1
393,Senegal,wine,7
394,Serbia,beer,283
395,Serbia,spirit,131
396,Serbia,wine,127
397,Seychelles,beer,157
398,Seychelles,spirit,25
399,Seychelles,wine,51
400,Sierra Leone,beer,25
401,Sierra Leone,spirit,3
402,Sierra Leone,wine,2
403,Singapore,beer,60
404,Singapore,spirit,12
405,Singapore,wine,11
406,Slovakia,beer,196
407,Slovakia,spirit,293
408,Slovakia,wine,116
409,Slovenia,beer,270
410,Slovenia,spirit,51
411,Slovenia,wine,276
412,Solomon Islands,beer,56
413,Solomon Islands,spirit,11
414,Solomon Islands,wine,1
415,South Africa,beer,225
416,South Africa,spirit,76
417,South Africa,wine,81
418,Spain,beer,284
419,Spain,spirit,157
420,Spain,wine,112
421,Sri Lanka,beer,16
422,Sri Lanka,spirit,104
423,Sudan,beer,8
424,Sudan,spirit,13
425,Suriname,beer,128
426,Suriname,spirit,178
427,Suriname,wine,7
428,Swaziland,beer,90
429,Swaziland,spirit,2
430,Swaziland,wine,2
431,Sweden,beer,152
432,Sweden,spirit,60
433,Sweden,wine,186
434,Switzerland,beer,185
435,Switzerland,spirit,100
436,Switzerland,wine,280
437,Syria,beer,5
438,Syria,spirit,35
439,Syria,wine,16
440,Tajikistan,beer,2
441,Tajikistan,spirit,15
442,Thailand,beer,99
443,Thailand,spirit,258
444,Thailand,wine,1
445,Macedonia,beer,106
446,Macedonia,spirit,27
447,Macedonia,wine,86
448,Timor-Leste,beer,1
449,Timor-Leste,spirit,1
450,Timor-Leste,wine,4
451,Togo,beer,36
452,Togo,spirit,2
453,Togo,wine,19
454,Tonga,beer,36
455,Tonga,spirit,21
456,Tonga,wine,5
457,Trinidad & Tobago,beer,197
458,Trinidad & Tobago,spirit,156
459,Trinidad & Tobago,wine,7
460,Tunisia,beer,51
461,Tunisia,spirit,3
462,Tunisia,wine,20
463,Turkey,beer,51
464,Turkey,spirit,22
465,Turkey,wine,7
466,Turkmenistan,beer,19
467,Turkmenistan,spirit,71
468,Turkmenistan,wine,32
469,Tuvalu,beer,6
470,Tuvalu,spirit,41
471,Tuvalu,wine,9
472,Uganda,beer,45
473,Uganda,spirit,9
474,Ukraine,beer,206
475,Ukraine,spirit,237
476,Ukraine,wine,45
477,United Arab Emirates,beer,16
478,United Arab Emirates,spirit,135
479,United Arab Emirates,wine,5
480,United Kingdom,beer,219
481,United Kingdom,spirit,126
482,United Kingdom,wine,195
483,Tanzania,beer,36
484,Tanzania,spirit,6
485,Tanzania,wine,1
486,USA,beer,249
487,USA,spirit,158
488,USA,wine,84
489,Uruguay,beer,115
490,Uruguay,spirit,35
491,Uruguay,wine,220
